name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,preferred_foot
B. Chapman,12/31/1998,20,175.26,68.9,"CM,RB",England,58,70,220000.0,Right
G. Kilama,5/30/1999,19,154.94,71.2,"LB,CDM,CB",Cameroon,58,71,210000.0,Left
K. Schlotterbeck,4/28/1997,21,187.96,83.9,CB,Germany,58,67,170000.0,Left
A. Talal,6/5/1996,22,175.26,68.0,CDM,Morocco,58,68,180000.0,Left
M. Awaji,10/22/1994,24,185.42,72.1,GK,Saudi Arabia,58,66,140000.0,Right
J. Italiano,7/30/2001,17,170.18,64.9,LM,Australia,58,79,280000.0,Right
J. Rieckmann,8/1/2000,18,154.94,76.2,"CB,CDM",Germany,58,76,230000.0,Right
M. McKee,12/1/1998,20,152.4,73.0,CM,Northern Ireland,58,70,220000.0,Right
S. Hiramatsu,11/20/1992,26,182.88,77.1,"ST,RM",Japan,58,61,160000.0,Right
G. Kyrnats,6/22/1998,20,187.96,78.9,GK,Russia,58,68,160000.0,Right
M. Simakan,5/3/2000,18,187.96,82.1,CB,France,58,69,180000.0,Right
A. Elyounoussi,3/29/1999,19,152.4,68.0,"LM,RM",Norway,58,71,240000.0,Right
K. Ellison,2/23/1979,40,154.94,76.2,"LM,ST",England,58,58,30000.0,Left
J. Hastie,3/18/1998,20,154.94,74.8,LM,Scotland,58,72,280000.0,Left
N. Stendera,9/30/2000,18,152.4,68.0,"CM,CDM",Germany,58,78,250000.0,Right
E. Gründemann,9/8/1998,20,185.42,87.1,GK,Germany,58,75,230000.0,Right
S. Farelli,2/19/1983,36,185.42,82.1,GK,Italy,58,58,30000.0,Right
E. Pauchet,3/22/1997,21,182.88,68.0,GK,France,58,67,150000.0,Right
D. Petersson,12/14/1994,24,185.42,77.1,GK,Sweden,58,63,120000.0,Right
M. Meli,2/2/2000,19,152.4,69.9,RW,Italy,58,78,260000.0,Right
M. Trovato,1/27/1998,21,182.88,74.8,"RW,CAM",Italy,58,73,280000.0,Right
P. Marie,3/24/1995,23,172.72,64.0,RB,France,58,63,140000.0,Right
C. Okoroji,4/19/1997,21,152.4,72.1,"LB,LWB",England,58,67,170000.0,Left
Zhang Huachen,3/16/1998,20,175.26,67.1,CDM,China PR,58,66,160000.0,Right
Cao Ziheng,3/6/1995,24,175.26,67.1,ST,China PR,58,64,180000.0,Right
K. Cabral,7/10/1999,19,185.42,78.0,"LM,LW,ST",France,58,72,260000.0,Right
M. Kumbulla,2/8/2000,19,185.42,78.0,CB,Albania,58,74,240000.0,Right
D. Liszka,2/17/2000,19,175.26,78.0,"LM,LB",Poland,58,68,190000.0,Left
D. Nasu,10/10/1981,37,154.94,77.1,CB,Japan,58,58,20000.0,Right
L. Nash,1/19/1996,23,175.26,71.2,ST,England,58,66,190000.0,Left
Maikel,12/2/1989,29,182.88,79.8,CAM,Spain,58,58,130000.0,Right
S. Bose,8/18/1995,23,185.42,78.0,LB,India,58,66,,Left
S. Takahashi,2/29/1996,23,170.18,64.9,"LB,RB,LM,RM",Japan,58,65,150000.0,Right
A. Bakir,1/15/2001,18,152.4,68.9,"RM,LM,RW,LW",Germany,58,76,250000.0,Right
R. Alm,8/17/1995,23,175.26,69.9,RW,Sweden,58,64,170000.0,Right
A. Nadesan,9/9/1994,24,187.96,69.9,"ST,RW",England,58,62,170000.0,Right
F. Atuahene,6/8/1996,22,175.26,77.1,"ST,CAM",Ghana,58,68,210000.0,Right
M. Pattier,6/12/1996,22,182.88,74.8,GK,France,58,66,140000.0,Right
J. Anthony,12/1/1999,19,152.4,68.0,ST,England,58,73,260000.0,Left
Du Changjie,12/20/1997,21,152.4,79.8,"ST,CAM",China PR,58,65,180000.0,Right
T. Maya,9/12/1996,22,175.26,71.2,LB,Colombia,58,69,190000.0,Left
M. Radecki,4/2/1993,25,187.96,73.9,CM,Poland,58,59,150000.0,Right
Pablo Cacharrón,6/12/1997,21,182.88,76.2,GK,Spain,58,70,180000.0,Right
T. Abraham,12/28/2000,18,185.42,78.0,ST,England,58,76,250000.0,Right
Cao Yongjing,2/15/1997,22,154.94,73.0,"CAM,LM,RM",China PR,58,68,210000.0,Right
C. Mafoumbi,3/3/1994,25,195.58,79.8,GK,Congo,58,62,120000.0,Right
J. Lozano,12/8/1993,25,182.88,78.9,CB,Colombia,58,63,140000.0,Right
W. Ebane,4/26/1992,26,154.94,79.8,LB,Gabon,58,59,120000.0,Left
D. Kelly,5/21/1996,22,182.88,67.1,RM,Republic of Ireland,58,68,200000.0,Right
J. Schau,9/21/1998,20,152.4,74.8,CDM,Germany,58,68,170000.0,Right
G. Smith,11/20/1993,25,185.42,86.2,GK,England,58,64,130000.0,Left
T. Ostrak,2/5/2000,19,175.26,74.8,"CM,CAM",Czech Republic,58,76,260000.0,Right
Y. Maeda,11/23/1984,34,175.26,68.9,"CDM,CM",Japan,58,58,50000.0,Right
A. Nilsson,8/11/1993,25,175.26,68.0,"LB,RB",Sweden,58,60,130000.0,Right
S. Steijn,11/17/2001,17,172.72,60.8,"CAM,CM",Netherlands,58,72,250000.0,Right
F. Quiroz,9/9/1997,21,175.26,73.0,RW,Chile,58,68,210000.0,Right
D. Ogawa,10/16/1991,27,172.72,73.0,"LM,RM,RB",Japan,58,58,140000.0,Right
Han Feng,12/5/1983,35,187.96,68.9,GK,China PR,58,58,50000.0,Right
M. Weigandt,1/11/2000,19,175.26,69.9,RB,Argentina,58,77,230000.0,Right
L. Schneider,6/19/2000,18,182.88,77.1,"CB,CDM",Germany,58,76,240000.0,Right
A. Muskwe,8/21/1998,20,182.88,74.8,ST,Zimbabwe,58,70,220000.0,Right
M. De Smet,4/27/2000,18,154.94,63.0,CAM,Belgium,58,73,260000.0,Right
S. Hostikka,9/30/1997,21,182.88,72.1,LM,Finland,58,67,200000.0,Right
J. Zea,1/19/1999,20,172.72,64.9,ST,Colombia,58,74,280000.0,Right
A. Kaltoft,5/22/1998,20,193.04,78.0,CB,Denmark,58,70,200000.0,Right
P. Sokołowski,9/25/1994,24,154.94,73.0,CDM,Poland,58,64,150000.0,Right
M. Gillam,10/4/1998,20,182.88,73.0,"ST,CAM,LM",England,58,68,200000.0,Right
A. Curry,5/21/1997,21,187.96,84.8,"CB,LB",England,58,73,250000.0,Left
E. Kaja,7/26/1997,21,152.4,78.0,"CAM,RM",Albania,58,67,200000.0,Right
A. Scheidler,6/4/1998,20,193.04,89.8,ST,France,58,68,210000.0,Right
S. Woods,9/11/1998,20,185.42,77.1,CB,England,57,71,200000.0,Right
D. Tejeda,3/17/1998,20,154.94,69.9,CM,Mexico,57,67,170000.0,Right
F. Godoy,6/28/2000,18,185.42,78.9,CB,Argentina,57,79,210000.0,Right
T. Golden,11/8/1999,19,175.26,64.9,RB,England,57,70,160000.0,Right
M. Guel,6/23/1999,19,172.72,79.8,RW,Ivory Coast,57,76,220000.0,Right
D. Liessens,4/8/1999,19,185.42,68.9,CB,Belgium,57,69,160000.0,Left
Kim Chan,4/25/2000,18,185.42,77.1,ST,Korea Republic,57,78,240000.0,Right
M. Häuser,1/23/2000,19,182.88,71.2,"LW,RW",Germany,57,72,210000.0,Left
R. Paparelli,3/24/1997,21,182.88,79.8,CB,Argentina,57,64,130000.0,Right
Wang Guoming,2/2/1990,29,187.96,81.2,GK,China PR,57,58,80000.0,Right
J. Quiñones,8/17/1997,21,185.42,73.9,CB,Colombia,57,67,150000.0,Right
E. Botheim,1/10/2000,19,154.94,69.9,ST,Norway,57,76,220000.0,Right
M. Platt,10/3/1997,21,187.96,81.2,CB,England,57,67,150000.0,Right
M. Borgogno,8/21/1998,20,187.96,73.9,GK,Argentina,57,71,180000.0,Right
M. Al Mutairi,3/10/1999,19,167.64,60.8,CAM,Saudi Arabia,57,73,220000.0,Left
Y. Meneses,4/1/2000,18,175.26,72.1,CAM,Colombia,57,79,230000.0,Left
G. Dorsey,3/5/1999,20,182.88,73.0,"RM,RWB",United States,57,67,160000.0,Right
K. Lara,6/10/1999,19,182.88,74.8,"LB,CB",Chile,57,72,200000.0,Left
M. Ranmark,10/16/1995,23,193.04,86.2,GK,Norway,57,65,110000.0,Left
K. Lynch,3/21/1992,26,185.42,76.2,LB,Republic of Ireland,57,60,110000.0,Left
F. Navarro,3/9/2000,18,170.18,66.2,CM,Argentina,57,78,230000.0,Right
B. Stephens,8/9/1997,21,172.72,59.9,"CAM,ST",England,57,66,160000.0,Right
J. Doyle,2/2/1997,22,152.4,64.0,"LB,LM",England,57,65,130000.0,Left
F. Mosquera,3/3/1995,24,152.4,73.9,"CB,RB,CDM",Colombia,57,66,140000.0,Right
J. De Smet,2/5/1999,20,185.42,84.8,GK,Belgium,57,68,130000.0,Left
Son Mu Bin,5/23/1998,20,187.96,82.1,GK,Korea Republic,57,72,190000.0,Right
C. Mosquera,10/19/1994,24,193.04,89.8,GK,Colombia,57,63,100000.0,Right
H. Spratt,1/28/2000,19,152.4,74.8,"LB,CB",England,57,70,160000.0,Left
J. Barrett,10/16/1999,19,185.42,74.8,"CB,RB",England,57,72,190000.0,Right
K. Stanek,10/3/1999,19,185.42,77.1,ST,Poland,57,68,170000.0,Right
Y. Zabaleta,7/19/1996,22,175.26,69.9,"LW,ST",Colombia,57,66,160000.0,Right
M. Napa,5/26/1999,19,167.64,64.9,RM,England,57,74,220000.0,Right
J. Guttau,10/29/1999,19,154.94,69.9,CAM,Germany,57,73,210000.0,Right
G. Oakley,11/18/1995,23,187.96,86.2,ST,England,57,65,150000.0,Right
N. Djouahra,11/23/1999,19,172.72,66.2,CAM,France,57,76,210000.0,Right
M. Al Haeti,3/10/1996,22,187.96,74.8,GK,Saudi Arabia,57,66,120000.0,Right
L. Brüggemeier,8/23/1997,21,193.04,83.0,GK,Germany,57,66,120000.0,Right
J. Chávez,3/8/1997,22,172.72,67.1,RM,Mexico,57,67,170000.0,Right
R. Henry,1/2/1984,35,154.94,73.9,"RB,CB",England,57,57,30000.0,Right
M. Trejo,3/9/1999,20,154.94,71.2,RB,Mexico,57,70,170000.0,Right
K. Odilon,1/4/2001,18,187.96,79.8,CB,Ivory Coast,57,79,210000.0,Right
Álvaro Gómez,6/6/1997,21,154.94,74.8,"CM,CAM",Spain,57,68,180000.0,Right
J. Hope,1/7/1998,21,182.88,67.1,"CM,CAM",Australia,57,65,150000.0,Right
K. Sugimori,4/5/1997,21,172.72,62.1,"LM,LW",Japan,57,70,200000.0,Left
G. Comerford,10/29/1993,25,154.94,79.8,"LB,CB,CM",Republic of Ireland,57,61,110000.0,Left
G. Dowling,10/8/1998,20,172.72,66.2,CM,England,57,73,220000.0,Right
R. Wintle,6/13/1997,21,154.94,64.0,"CM,CDM",England,57,67,170000.0,Right
T. Dele-Bashiru,9/17/1999,19,152.4,68.0,CM,England,57,76,210000.0,Right
P. Boevink,1/16/1998,21,190.5,84.8,GK,Netherlands,57,70,160000.0,Right
S. Grønning,2/3/1997,22,187.96,84.8,ST,Denmark,57,66,160000.0,Right
J. Brimmer,4/3/1998,20,154.94,69.9,CM,Australia,57,67,170000.0,Right
J. Eastwood,10/3/1996,22,190.5,69.9,GK,England,57,65,120000.0,Right
I. Tapia,2/22/1999,20,185.42,72.1,"CB,RB,LB",Chile,57,72,200000.0,Right
M. Al Mutlaq,12/10/1997,21,165.1,66.2,RB,Saudi Arabia,57,69,160000.0,Right
Sun Jungang,8/5/1995,23,175.26,69.9,RM,China PR,57,63,140000.0,Right
L. John,4/19/1994,24,190.5,84.8,CB,England,57,63,120000.0,Right
D. Kinumbe,3/15/1999,19,175.26,62.1,"LB,RB",Canada,57,73,200000.0,Left
L. Martínez,4/3/1999,19,175.26,77.1,RB,Mexico,57,71,200000.0,Right
D. Tomii,8/27/1989,29,182.88,73.9,GK,Japan,57,57,70000.0,Right
J. Brauti,5/1/1999,19,190.5,79.8,GK,Norway,57,70,160000.0,Right
Y. Toure,9/29/2000,18,185.42,74.8,"ST,LW,RW",Switzerland,57,80,230000.0,Right
E. Sørhøy,8/1/1994,24,182.88,78.9,LW,Norway,57,61,140000.0,Left
J. Hallam,10/6/1998,20,172.72,63.0,"ST,CAM",England,57,70,200000.0,Right
Morro,9/11/2000,18,193.04,78.0,GK,Spain,57,74,170000.0,Left
M. Młyński,1/2/2001,18,152.4,66.2,"LM,CAM",Poland,57,72,210000.0,Right
S. Al Najrani,11/8/1996,22,175.26,64.9,RM,Saudi Arabia,57,64,150000.0,Right
N. Kirk,3/3/1998,21,154.94,69.9,"RB,CM",Denmark,57,71,200000.0,Right
N. Simon,3/11/2000,18,170.18,62.1,CM,France,57,73,210000.0,Left
O. Solbakken,9/7/1998,20,185.42,82.1,"RW,LW",Norway,57,67,160000.0,Left
R. de Vos,5/26/1996,22,182.88,73.0,CM,Netherlands,57,66,160000.0,Right
Lee Gyu Seong,5/10/1994,24,172.72,66.2,"CAM,CM",Korea Republic,57,62,140000.0,Right
Xiang Hantian,11/21/1995,23,175.26,63.0,RM,China PR,57,63,140000.0,Left
N. Kariri,4/16/1998,20,165.1,58.1,"RB,RM",Saudi Arabia,57,70,180000.0,Right
B. Liddle,9/21/1998,20,170.18,74.8,CM,England,57,70,190000.0,Right
P. Kalambayi,7/9/1999,19,182.88,69.9,CB,England,57,72,190000.0,Right
M. Al Sufyani,1/26/1999,20,172.72,64.0,"LM,CAM",Saudi Arabia,57,73,220000.0,Left
T. Blackmon,8/12/1996,22,185.42,81.2,"RB,CB",United States,57,67,140000.0,Right
C. Yates,2/14/1999,20,187.96,79.8,GK,Scotland,57,68,130000.0,Right
F. Zorba,2/25/1998,21,185.42,77.1,"LB,CB",Turkey,57,66,140000.0,Left
D. Conroy,12/11/1995,23,154.94,78.0,CB,England,57,62,120000.0,Right
R. Allassani,1/3/1996,23,170.18,69.9,"LM,CAM",England,57,66,160000.0,Right
B. Hussein,4/22/2000,18,175.26,69.9,CM,Sweden,57,78,230000.0,Right
K. Digol,9/28/1998,20,175.26,69.9,"RB,RM",France,57,68,150000.0,Right
T. Ryan,4/9/1997,21,154.94,73.9,GK,Republic of Ireland,57,70,160000.0,Right
A. Molina,4/4/1999,19,175.26,59.9,"LWB,LB",Mexico,57,71,200000.0,Left
A. Bradley,1/27/1999,20,152.4,64.0,"RW,CM",England,57,72,220000.0,Right
A. Al Riou,5/15/1994,24,167.64,69.9,"LB,CB",Saudi Arabia,57,61,110000.0,Left
E. González,1/1/1998,21,175.26,67.1,RB,Mexico,57,67,140000.0,Right
D. Mercado,1/3/1997,22,170.18,71.2,CM,Argentina,57,68,180000.0,Right
M. Lema,9/13/1999,19,170.18,64.9,RM,Austria,57,75,210000.0,Right
L. Kharabadze,1/26/2000,19,182.88,78.9,LB,Georgia,57,77,190000.0,Left
J. Lankester,1/19/2000,19,182.88,73.9,"ST,RW",England,57,76,220000.0,Left
K. Oldenburger,2/12/1996,23,175.26,69.9,RM,Netherlands,57,64,150000.0,Right
D. Gillela,1/2/2000,19,154.94,76.2,"CB,CDM",England,57,73,190000.0,Right
T. Sibbick,5/23/1999,19,182.88,68.9,"CB,RB",England,57,69,160000.0,Right
F. Langsdorf,12/14/1995,23,152.4,74.8,ST,United States,57,64,150000.0,Right
Kim Woo Suk,8/4/1996,22,187.96,73.9,"CB,RB",Korea Republic,57,68,160000.0,Right
A. Montero,5/5/1998,20,182.88,74.8,CM,Argentina,57,71,230000.0,Right
H. Douglas,6/22/1993,25,190.5,84.8,"CB,RB",Republic of Ireland,57,61,110000.0,Right
J. Truque,4/23/1999,19,152.4,67.1,GK,Colombia,57,73,180000.0,Right
A. Hindi,2/2/1997,22,154.94,64.0,CB,Saudi Arabia,57,70,180000.0,Left
E. Mahmutovic,5/22/1997,21,190.5,86.2,"CB,RB",Luxembourg,57,67,150000.0,Right
Cong Zhen,2/9/1997,22,154.94,74.8,"CM,CDM",China PR,57,65,150000.0,Right
D. Spence,8/9/2000,18,182.88,71.2,RB,England,57,77,180000.0,Right
F. Kaya,11/13/1999,19,182.88,78.9,ST,Turkey,57,73,220000.0,Right
H. Donovan,1/30/1998,21,152.4,64.0,CM,England,57,69,180000.0,Right
B. Rivera,10/23/1999,19,182.88,79.8,CDM,Chile,57,73,190000.0,Right
C. Polo,12/22/1997,21,152.4,73.0,CDM,Colombia,57,71,210000.0,Right
A. Thiam,10/3/1998,20,175.26,64.0,"CB,LB,CDM",Mauritania,57,67,140000.0,Left
S. Ben Amar,3/2/1998,21,185.42,76.2,ST,Morocco,57,69,190000.0,Right
T. Abrahams,12/29/1998,20,175.26,67.1,ST,England,57,69,180000.0,Right
G. Gbellé,12/16/1992,26,152.4,74.8,CM,France,57,60,130000.0,Right
Xu Yougang,2/9/1996,23,154.94,72.1,RB,China PR,57,66,140000.0,Right
G. Kımışır,1/1/1998,21,152.4,58.1,CB,Turkey,56,65,120000.0,Right
R. Caicedo,12/18/1993,25,187.96,83.0,GK,Colombia,56,62,90000.0,Right
O. Yilmaz,10/13/1997,21,190.5,79.8,ST,Austria,56,64,140000.0,Right
H. Isted,3/5/1997,22,185.42,73.9,GK,England,56,67,120000.0,Right
D. Devine,9/4/1997,21,154.94,76.2,CM,England,56,65,140000.0,Right
A. Mikkelsen,10/24/2000,18,165.1,64.9,"LM,RM",Norway,56,71,180000.0,Right
K. McAllister,1/21/1999,20,175.26,74.8,"RM,LM",Scotland,56,72,190000.0,Left
S. Amin,11/13/1997,21,182.88,68.0,CM,Syria,56,64,130000.0,Right
N. Harker,11/5/1998,20,190.5,83.0,GK,England,56,73,160000.0,Left
J. Khmiri,11/13/1997,21,193.04,84.8,CB,Tunisia,56,66,130000.0,Right
C. Lang,9/8/1998,20,154.94,73.0,"RM,ST,LM",England,56,73,190000.0,Right
R. Akbari,6/20/2000,18,154.94,68.0,"CAM,ST",Australia,56,71,190000.0,Right
J. Bedeau,12/24/1999,19,182.88,78.0,CB,England,56,73,170000.0,Left
M. Hauptmann,9/14/1999,19,152.4,68.0,"RM,LM,CAM",Germany,56,72,190000.0,Right
M. Layer,2/12/1999,20,187.96,84.8,GK,Germany,56,71,160000.0,Right
Cheng Changcheng,3/27/1991,27,154.94,78.0,ST,China PR,56,56,100000.0,Right
K. Dybowski,6/12/1997,21,185.42,79.8,GK,Poland,56,65,110000.0,Right
O. Aragón,6/14/1997,21,154.94,72.1,ST,Colombia,56,66,150000.0,Right
M. Sandoval,4/14/1995,23,167.64,64.9,"CAM,CM",Chile,56,64,130000.0,Right
K. Ogi,5/5/1983,35,185.42,76.2,GK,Japan,56,56,20000.0,Right
J. Rees,10/4/1993,25,175.26,78.0,"CM,CAM",England,56,58,110000.0,Right
T. Duffus,1/27/1997,22,185.42,68.0,CM,England,56,64,130000.0,Right
D. Dressel,10/26/1998,20,185.42,74.8,CM,Germany,56,70,190000.0,Left
M. Kilman,5/23/1997,21,185.42,79.8,"CB,LB,CM",England,56,70,180000.0,Left
A. Cvetkovic,6/4/1995,23,187.96,87.1,"RB,CB",Serbia,56,63,110000.0,Right
Y. Oki,8/22/1999,19,182.88,82.1,GK,Japan,56,72,150000.0,Right
Marc Vito,11/10/1996,22,187.96,79.8,GK,Spain,56,66,110000.0,Right
H. Bellman,3/24/1999,19,170.18,64.9,LM,Sweden,56,71,190000.0,Right
J. Hove,9/7/2000,18,152.4,72.1,"CM,CF",Norway,56,74,180000.0,Right
R. Feely,1/3/1997,22,190.5,76.2,CB,Republic of Ireland,56,67,140000.0,Right
E. Le Fée,2/3/2000,19,170.18,58.1,CM,France,56,73,180000.0,Right
R. Cassidy,3/2/2001,18,175.26,68.9,ST,Republic of Ireland,56,76,180000.0,Right
L. Brand,3/4/2000,19,185.42,74.8,GK,Netherlands,56,68,120000.0,Right
J. Kronig,6/24/2000,18,185.42,78.0,CB,Switzerland,56,79,190000.0,Left
Yang Ke,4/19/1989,29,182.88,78.0,RM,China PR,56,56,90000.0,Right
Peng Rui,8/30/1993,25,175.26,64.9,"LB,RB",China PR,56,60,100000.0,Left
Y. Avcılar,2/21/1999,20,152.4,60.8,CB,Turkey,56,70,180000.0,Right
P. Bird,4/16/1999,19,187.96,69.9,CB,Northern Ireland,56,71,180000.0,Right
I. Cameron,8/22/2000,18,190.5,78.0,"CF,CAM",Scotland,56,74,180000.0,Right
S. Farsak,6/10/1998,20,154.94,63.0,CDM,Turkey,56,65,120000.0,Right
D. Ingham,6/8/1999,19,185.42,73.0,"RB,RWB,RM",New Zealand,56,67,130000.0,Right
G. Rogers,2/14/2001,18,152.4,69.9,"RM,LM",England,56,70,180000.0,Left
E. Maulana Vikri,7/7/2000,18,165.1,64.9,CAM,Indonesia,56,74,180000.0,Left
C. Cooper,5/1/1997,21,175.26,73.0,CM,England,56,64,130000.0,Right
H. Finndell,6/6/2000,18,152.4,73.9,CM,Sweden,56,73,180000.0,Right
G. Tsitaishvili,11/18/2000,18,170.18,63.0,"RM,LM",Ukraine,56,76,180000.0,Left
C. Ellis,5/12/1997,21,172.72,69.9,ST,Republic of Ireland,56,66,150000.0,Right
D. Pierias,2/20/2000,19,167.64,63.0,RB,Australia,56,70,170000.0,Right
O. Al Suhaymi,1/17/1993,26,175.26,63.0,"CDM,CM",Saudi Arabia,56,58,90000.0,Left
A. Eichhorn,9/22/1998,20,172.72,64.9,RB,Germany,56,66,120000.0,Right
A. Jakupović,5/29/1998,20,185.42,81.2,"ST,CF,LW",Austria,56,72,200000.0,Left
K. Fatkic,8/20/1997,21,185.42,74.8,CAM,Slovenia,56,65,140000.0,Left
M. Stajduhar,12/2/1997,21,187.96,86.2,GK,United States,56,70,160000.0,Right
Lee Joon Hee,12/10/1993,25,193.04,88.9,GK,Korea Republic,56,61,90000.0,Right
N. Al Dajani,2/13/1997,22,170.18,68.0,"CAM,CM",Saudi Arabia,56,67,160000.0,Right
E. Chilufya,9/17/1999,19,170.18,68.0,"ST,RM",Zambia,56,75,190000.0,Right
I. Ünal,12/2/1997,21,154.94,73.0,GK,Turkey,56,69,140000.0,Right
R. Ito,5/2/1998,20,154.94,69.9,LM,Japan,56,64,130000.0,Right
R. Motegi,9/27/1996,22,175.26,68.0,"CB,RB,CDM",Japan,56,64,120000.0,Right
I. Pearce,10/27/1998,20,165.1,62.1,ST,England,56,68,160000.0,Right
J. Lalrinzuala,7/30/1998,20,175.26,68.0,"LB,LM",India,56,64,,Left
A. Hudu,3/15/2000,18,167.64,64.9,CM,Ghana,56,69,160000.0,Right
Wei Zhen,2/12/1997,22,187.96,78.0,CB,China PR,56,65,120000.0,Right
K. Osako,7/28/1999,19,185.42,86.2,GK,Japan,56,68,120000.0,Right
W. Fitzgerald,5/19/1999,19,187.96,73.0,LM,Republic of Ireland,56,66,140000.0,Right
A. Kuruniyan,6/17/1997,21,175.26,69.9,"LW,LM,ST",India,56,70,,Left
Zhu Xiaogang,10/6/1987,31,182.88,74.8,CDM,China PR,56,56,70000.0,Right
A. Alonzo,1/27/2000,19,185.42,72.1,GK,Mexico,56,73,150000.0,Right
L. Connell,4/20/2001,17,152.4,74.8,"CM,LM",Republic of Ireland,56,76,180000.0,Right
A. Nurudeen,2/8/1999,20,190.5,77.1,GK,Ghana,56,69,140000.0,Right
C. Kelly,7/4/1998,20,190.5,78.0,"CB,LB",Republic of Ireland,56,68,140000.0,Left
D. Pakulski,7/23/1998,20,175.26,66.2,RM,Poland,56,65,140000.0,Right
Y. Takeda,6/30/1987,31,190.5,81.2,GK,Japan,56,56,50000.0,Right
T. Isherwood,1/28/1998,21,195.58,88.0,CB,Sweden,56,71,180000.0,Left
D. Hayes,4/9/1995,23,167.64,72.1,RB,Republic of Ireland,56,62,100000.0,Right
L. Archimède,9/17/1999,19,190.5,78.0,ST,France,56,68,150000.0,Right
C. Lokoli-Ngoy,3/2/1997,22,187.96,81.2,ST,Australia,56,69,180000.0,Right
J. McGarry,4/9/1998,20,152.4,72.1,"LW,LB",New Zealand,56,65,140000.0,Left
W. Le Pogam,3/3/1993,26,182.88,74.8,"LB,LWB",France,56,58,90000.0,Left
M. Miño,8/21/1997,21,182.88,79.8,GK,Argentina,56,70,160000.0,Right
M. Minder,2/3/1993,26,187.96,84.8,GK,Switzerland,56,61,90000.0,Left
H. Al Shaie,4/14/1998,20,167.64,59.0,ST,Saudi Arabia,55,66,150000.0,Right
C. Lindley,7/18/1997,21,175.26,73.0,CM,United States,55,69,190000.0,Right
A. Fisher,2/12/1998,21,187.96,73.0,GK,England,55,65,110000.0,Right
M. Bower,12/11/1998,20,198.12,82.1,CB,England,55,67,140000.0,Left
M. McCrudden,7/31/1991,27,152.4,68.9,"ST,LM",Northern Ireland,55,56,110000.0,Right
N. Suksum,11/6/1997,21,175.26,64.9,ST,Thailand,55,65,150000.0,Right
B. Garcés,5/30/1993,25,175.26,69.9,ST,Colombia,55,59,120000.0,Right
B. Kirdar,2/7/2002,17,167.64,64.9,CAM,Australia,55,78,190000.0,Right
M. Al Thani,1/22/1997,22,175.26,64.0,"RM,LM",Saudi Arabia,55,65,140000.0,Right
S. Junqua,11/9/1996,22,182.88,77.1,LB,United States,55,66,130000.0,Left
W. Hanssen,5/10/1998,20,152.4,74.8,ST,Norway,55,62,130000.0,Right
T. Umeda,7/23/2000,18,182.88,78.9,GK,Japan,55,73,140000.0,Right
Yan Zhiyu,2/8/1993,26,170.18,64.9,LB,China PR,55,58,90000.0,Left
M. Roseth,7/10/1998,20,187.96,78.0,"CB,LB",Norway,55,72,170000.0,Left
T. Issa,9/2/1997,21,170.18,69.9,"ST,LM,CAM",England,55,62,130000.0,Left
D. Arias,12/8/1999,19,182.88,73.9,"ST,RW",Chile,55,68,160000.0,Right
Y. Nishimura,11/4/1999,19,182.88,71.2,"CM,LM",Japan,55,64,120000.0,Right
D. Błanik,4/15/1997,21,172.72,63.0,RM,Poland,55,64,140000.0,Right
J. García,1/22/2002,17,165.1,53.1,CB,Mexico,55,80,180000.0,Right
Y. Taki,8/29/1999,19,167.64,55.8,"CM,CAM",Japan,55,70,180000.0,Right
T. Amos,2/6/1998,21,195.58,79.8,GK,Sweden,55,68,140000.0,Right
C. Moya,2/2/1998,21,154.94,69.9,CB,Colombia,55,68,150000.0,Right
J. Kayode,5/4/2000,18,190.5,74.8,ST,Nigeria,55,70,180000.0,Right
M. Matic,1/7/1996,23,185.42,76.2,GK,Switzerland,55,65,110000.0,Right
A. Payne,10/7/1999,19,152.4,73.0,CM,England,55,71,180000.0,Right
A. Doğan,10/5/2001,17,154.94,69.9,CB,Turkey,55,71,160000.0,Right
I. Sekigawa,9/13/2000,18,182.88,72.1,CB,Japan,55,74,160000.0,Right
B. Niezgoda,1/23/2000,19,198.12,84.8,GK,Poland,55,70,150000.0,Right
A. Baun,11/18/1995,23,193.04,84.8,"RM,LM",Denmark,55,64,140000.0,Right
K. Dawes,12/2/1999,19,175.26,73.9,RB,England,55,72,160000.0,Right
D. Enomoto,6/21/1996,22,162.56,59.9,"LW,CF",Japan,55,62,120000.0,Right
B. Lyons,5/26/1997,21,182.88,76.2,"CM,CAM",Northern Ireland,55,67,160000.0,Right
H. Offia,12/26/1999,19,175.26,81.2,LM,Nigeria,55,66,140000.0,Right
R. Parkes,11/11/1990,28,193.04,88.0,ST,Jamaica,55,55,90000.0,Right
W. Scott,10/2/1999,19,175.26,69.9,LB,Australia,55,68,140000.0,Right
C. Gregory,1/20/2000,19,193.04,74.8,GK,England,55,74,150000.0,Right
D. Leverock,4/11/1992,26,195.58,86.2,CB,Bermuda,55,57,90000.0,Right
M. Welch-Hayes,10/25/1996,22,154.94,77.1,"RB,LB",England,55,63,110000.0,Right
K. Yamaguchi,5/5/1995,23,154.94,49.9,"CF,ST",Japan,55,61,120000.0,Right
D. Marzino,9/19/1996,22,182.88,79.8,GK,Switzerland,55,64,100000.0,Right
I. Hutchinson,4/10/2000,18,152.4,69.9,CAM,England,55,68,160000.0,Right
